raw_value,normalized_finish,notes
Passivated and/or tested per ASTM A380,Passivated and/or tested per ASTM A380,
Natural,Natural,
"Zinc Plate, Bright chromate","Zinc Plate, Bright chromate",
Powder Coat,Powder Coat,
Passivated,Passivated,
Bright Electro Plated Zinc,Bright Electro Plated Zinc,
Plain,Plain,
Chrome Plated,Chrome Plated,
SEE TABLE,SEE TABLE,
Non-Plated,Non-Plated,
Black,Black,
Zinc Plated,Zinc Plated,
Natural (Rivet),Natural (Rivet),
Clear Electro Plated,Clear Electro Plated,
"Electro-Plated Tin, ASTM B545, Class B with Preservative Coating, Annealed","Electro-Plated Tin, ASTM B545, Class B with Preservative Coating, Annealed",
Tin Plated,Tin Plated,
Trivalent Zinc Clear,Trivalent Zinc Clear,
"Electro-Plated Tin, ASTM B545, Class A with Clear Preservative Coating, Annealed","Electro-Plated Tin, ASTM B545, Class A with Clear Preservative Coating, Annealed",
Electro Tin Plated,Electro Tin Plated,
Nickel Plated,Nickel Plated,
Zinc Yellow Plus Lubricant,Zinc Yellow Plus Lubricant,
No Finish,No Finish,
Clear Passivated,Clear Passivated,
Electropolished,Electropolished,
Black Anodized,Black Anodized,
Zinc Plated (Rivet),Zinc Plated (Rivet),
Zinc Clear Chromate with Blue Tint,Zinc Clear Chromate with Blue Tint,
"Electro Tin Plated, Red","Electro Tin Plated, Red",
"Electro Tin Plated, m.etallic","Electro Tin Plated, m.etallic",
"Zinc Plate per ASTM B 633, Fe/Zn 8, Type II","Zinc Plate per ASTM B 633, Fe/Zn 8, Type II",
"BLACK, DRY-FILM LUBRICANT","BLACK, DRY-FILM LUBRICANT",
Yellow Zinc Trivalent,Yellow Zinc Trivalent,
"Blue (Housing), Pure Tin Plated (Contact)","Blue (Housing), Pure Tin Plated (Contact)",
Clear Iridite,Clear Iridite,
Clear Anodized,Clear Anodized,
"Cadmium Plate per SAE AMS-QQ-P-416, Class III, Type I","Cadmium Plate per SAE AMS-QQ-P-416, Class III, Type I",
Black Powder Coated,Black Powder Coated,
Zinc I mmersion Coating,Zinc I mmersion Coating,
Alodine,Alodine,
Polished,Polished,
Black Oxide,Black Oxide,
"ElectroTin, ASTM B545, Class A w/clear coat, annealed","ElectroTin, ASTM B545, Class A w/clear coat, annealed",
"BLACK, DRY-FILM LUBRICANT OVER ZINC PHOSPHATE","BLACK, DRY-FILM LUBRICANT OVER ZINC PHOSPHATE",
Clear Electro Plated Zinc,Clear Electro Plated Zinc,
White,White,
Anodized,Anodized,
"Black Powder Coated (Housing), Zinc Plated (Cam)","Black Powder Coated (Housing), Zinc Plated (Cam)",
"Zinc Plate, Black Chromate","Zinc Plate, Black Chromate",
Clear Zinc Plated,Clear Zinc Plated,
Nickel Chrome Plated,Nickel Chrome Plated,
