raw_value,normalized_material,notes
Steel,Steel,
300 SERIES STAINLESS STEEL,300 SERIES STAINLESS STEEL,
Stainless Steel,Stainless Steel,
Aluminum,Aluminum,
Nylon 6/6,Nylon 6/6,
Zinc Alloy,Zinc Alloy,
400 SERIES STAINLESS STEEL,400 SERIES STAINLESS STEEL,
Copper,Copper,
303 Stainless Steel,303 Stainless Steel,
Soft Urethane,Soft Urethane,
Dry Film Lubricant,Dry Film Lubricant,
Brass,Brass,
Plastic,Plastic,
SEE TABLE,SEE TABLE,
"FREE-MACHINING,LEADED BRASS","FREE-MACHINING,LEADED BRASS",
Nylon,Nylon,
PVC,PVC,
CARBON STEEL,CARBON STEEL,
Aluminum Alloy,Aluminum Alloy,
AGE HARDENED STAINLESS STEEL,AGE HARDENED STAINLESS STEEL,
ABS Plastic,ABS Plastic,
Phosphor Bronze,Phosphor Bronze,
Primer Free II Coated,Primer Free II Coated,
416 Stainless Steel,416 Stainless Steel,
"Polypropylene (Housing), Copper Alloy (Contact)","Polypropylene (Housing), Copper Alloy (Contact)",
Nylon 6,Nylon 6,
Acetal Copolymer,Acetal Copolymer,
Polyethylene,Polyethylene,
1010/1008 Steel,1010/1008 Steel,
All Metals,All Metals,
LOW CARBON STEEL,LOW CARBON STEEL,
Polypropylene,Polypropylene,
"Stainless Steel (Cable), Acetal (Liner), Polypropylene (Jacket)","Stainless Steel (Cable), Acetal (Liner), Polypropylene (Jacket)",
360 Brass,360 Brass,
Polycarbonate,Polycarbonate,
Weather Resistant Nylon 6/6,Weather Resistant Nylon 6/6,
316 Stainless Steel,316 Stainless Steel,
Glass Filled Nylon,Glass Filled Nylon,
Polyamide 6,Polyamide 6,
Nylon/Polyamide 6/6,Nylon/Polyamide 6/6,
300 Stainless Steel,300 Stainless Steel,
Rubber,Rubber,
18-8 Stainless Steel,18-8 Stainless Steel,
AGE HARDENED A286 STAINLESS STEEL,AGE HARDENED A286 STAINLESS STEEL,
Wax,Wax,
302 Stainless Steel,302 Stainless Steel,
Flame Retardant Cross Linked Polyolefin,Flame Retardant Cross Linked Polyolefin,
Polyphenylene Oxide,Polyphenylene Oxide,
Polymer,Polymer,
"Zinc Alloy (Housing), Steel (Cam)","Zinc Alloy (Housing), Steel (Cam)",
